"Antioch University New England","40 Avon St Keene New Hampshire 03431","03431","@antioch.edu",42.9407,-72.2874
"Antioch University PhD Program in Leadership and Change","150 E South College St Yellow Springs Ohio 45387","45387","@phd.antioc.edu",39.8008,-83.8897
"Antioch University Seattle","2326 6th Ave Seattle Washington 98121","98121","@antiochseattle.edu",47.6155,-122.3462
"Antioch University-Los Angeles Branch","400 Corporate Pointe Culver City California 90230-7615","90230","@antiochla.edu",33.9887,-118.3839
"Antioch University-Santa Barbara","801 Garden St Suite 101 Santa Barbara California 93101-1581","93101","@antiochsb.edu",34.4227,-119.6961
"Antioch University-System Administration,"Us Highway 68 Yellow Springs OH","45387",@antioch.eduThi @antioch.edu ,39.8064,-83.886902
"Antonelli Institute,"676 Bethlehem Pike Erdenheim PA","19038","@antonelli.edu",40.0919,-75.214203
"Antonelli Medical and Professional Institute,"212 E High St Pottstown PA","19464","@antonelli.edu",40.2453,-75.650002
"Apollo College,"643 W Grove St Boise ID","83702","@APOLLO.EDU",43.613602,-116.202499
"Apollo College-Phoenix Inc,"40 E Washington St Phoenix AZ","85004","@APOLLO.EDU",33.448299,-112.073303
"Apollo College-Portland Inc,"458 NW Couch St Portland OR","97209","@APOLLO.EDU",45.523602,-122.675003
"Appalachian Bible College,"State Route 211 Mount Hope WV","25880","@abc.edu",37.895302,-81.164398
"Appalachian State University,"Edgewood Dr Boone NC","28607","@appstate.edu",36.216702,-81.674698
*"Appalachian Technical College,"58 S East St Jasper GA","30143",@altamahatech.edu ,34.4678,-84.429199
"Aquinas College","1607 Robinson Rd SE Grand Rapids Michigan 49506-1799","49506","@aquinas.edu",42.9581,-85.629
"Aquinas Institute of Theology","23 S. Spring Ave. Saint Louis Missouri 63108","63108","@ai.edu",38.6448,-90.255
"Arapahoe Community College,"5724 S Prince St Littleton CO","80120","@arapahoe.edu",39.6133,-105.016098
"Arcadia University","450 S Easton Rd Glenside Pennsylvania 19038-3295","19038","@arcadia.edu",40.09,-75.1634
"Argosy University-Atlanta","980 Hammond Drive Suite 100 Atlanta Georgia 30328","30328","@argosy.edu",33.9323,-84.3759
"Argosy University-Chicago","225 N. Michigan Ave Ste 1300 Chicago Illinois 60601","60601","@argosy.edu",41.8865,-87.6234
"Argosy University-Dallas","8080 Park Lane Suite 400A Dallas Texas 75231","75231","@argosy.edu",32.8772,-96.75
"Argosy University-Denver","1200 Lincoln St. Denver Colorado 80203","80203","@argosy.edu",39.7314,-104.9829
"Argosy University-Hawaii,"606 S King St Honolulu HI","96813","@argosy.edu",21.303759,-157.855545
"Argosy University-Inland Empire","636 East Brier Dr Suite 120 San Bernardino California 92408","92408","@argosyu.edu",34.0804,-117.2724
"Argosy University-Los Angeles","2950 31st Street Santa Monica California 90405","90405","@argosy.edu",34.0096,-118.4728
"Argosy University-Nashville","100 Centerview Dr Suite 225 Nashville Tennessee 37214","37214","@argosy.edu",36.1667,-86.6644
